"date","home_team","away_team","home_score","away_score","tournament","city","country","neutral"
"1956-07-15","Hungary","Poland","4","1","Friendly","Budapest","Hungary","FALSE"
"1956-07-15","Paraguay","Uruguay","2","2","Friendly","Asunción","Paraguay","FALSE"
"1956-07-22","Poland","German DR","0","2","Friendly","Chorzów","Poland","FALSE"
"1956-08-03","Belarus","Kyrgyzstan","1","0","Friendly","Moscow","Soviet Union","TRUE"
"1956-08-03","Estonia","Lithuania","0","1","Friendly","Moscow","Soviet Union","TRUE"
"1956-08-05","Brazil","Czechoslovakia","0","1","Friendly","Rio de Janeiro","Brazil","FALSE"
"1956-08-05","Russia","Lithuania","2","0","Friendly","Moscow","Soviet Union","FALSE"
"1956-08-08","Brazil","Czechoslovakia","4","1","Friendly","São Paulo","Brazil","FALSE"
"1956-08-09","Russia","Belarus","5","1","Friendly","Moscow","Soviet Union","FALSE"
"1956-08-09","Yugoslavia","China PR","4","0","Friendly","Belgrade","Yugoslavia","FALSE"
"1956-08-10","Estonia","Lithuania","0","2","Friendly","Moscow","Soviet Union","TRUE"
"1956-08-11","Russia","Belarus","4","2","Friendly","Moscow","Soviet Union","FALSE"
"1956-08-12","Lithuania","Moldova","1","4","Friendly","Moscow","Soviet Union","TRUE"
"1956-08-12","Uruguay","Czechoslovakia","2","1","Friendly","Montevideo","Uruguay","FALSE"
"1956-08-15","Paraguay","Argentina","0","1","Copa Chevallier Boutell","Asunción","Paraguay","FALSE"
"1956-08-19","Argentina","Czechoslovakia","1","0","Friendly","Buenos Aires","Argentina","FALSE"
"1956-08-26","Chile","Czechoslovakia","3","0","Friendly","Santiago","Chile","FALSE"
"1956-08-26","South Korea","Taiwan","2","0","AFC Asian Cup qualification","Seoul","South Korea","FALSE"
"1956-08-26","Norway","Finland","1","1","Nordic Championship","Oslo","Norway","FALSE"
"1956-08-26","Poland","Bulgaria","1","2","Friendly","Wrocław","Poland","FALSE"
"1956-09-01","Hong Kong","Israel","2","3","AFC Asian Cup","So Kon Po","Hong Kong","FALSE"
"1956-09-06","Hong Kong","South Korea","2","2","AFC Asian Cup","So Kon Po","Hong Kong","FALSE"
"1956-09-08","Israel","South Korea","1","2","AFC Asian Cup","So Kon Po","Hong Kong","TRUE"
"1956-09-09","Hong Kong","Vietnam Republic","2","2","AFC Asian Cup","So Kon Po","Hong Kong","FALSE"
"1956-09-09","Yugoslavia","Indonesia","4","2","Friendly","Belgrade","Yugoslavia","FALSE"
"1956-09-10","Bulgaria","Romania","2","0","Friendly","Sofia","Bulgaria","FALSE"
"1956-09-12","Croatia","Indonesia","5","2","Friendly","Zagreb","Yugoslavia","FALSE"
