"1981-04-11","1983-08-14",74,"UEFA Euro qualification"
"1981-04-11","1983-08-14",58,"African Cup of Nations qualification"
"1981-04-11","1983-08-14",52,"FIFA World Cup"
"1981-04-11","1983-08-14",39,"Merdeka Tournament"
"1981-04-11","1983-08-14",29,"Amílcar Cabral Cup"
"1981-04-11","1983-08-14",28,"CFU Caribbean Cup qualification"
"1981-04-11","1983-08-14",28,"CECAFA Cup"
"1981-04-11","1983-08-14",23,"Korea Cup"
"1981-04-11","1983-08-14",16,"British Home Championship"
"1981-04-11","1983-08-14",16,"African Cup of Nations"
"1981-04-11","1983-08-14",15,"Gulf Cup"
"1981-04-11","1983-08-14",15,"CONCACAF Championship"
"1981-04-11","1983-08-14",14,"King's Cup"
"1981-04-11","1983-08-14",13,"West African Cup"
"1981-04-11","1983-08-14",11,"CFU Caribbean Cup"
"1981-04-11","1983-08-14",10,"Nordic Championship"
"1981-04-11","1983-08-14",7,"Nehru Cup"
"1981-04-11","1983-08-14",6,"Merlion Cup"
"1981-04-11","1983-08-14",3,"Copa del Pacífico"
"1981-04-11","1983-08-14",3,"Kirin Cup"
"1981-04-11","1983-08-14",3,"Beijing International Friendship Tournament"
"1981-04-11","1983-08-14",2,"Copa Artigas"
"1981-04-11","1983-08-14",2,"Copa Juan Pinto Durán"
"1981-04-11","1983-08-14",2,"Great Wall Cup"
"1981-04-11","1983-08-14",2,"Copa América"
"1981-04-11","1983-08-14",2,"Copa Félix Bogado"
"1981-04-11","1983-08-14",2,"Indonesia Tournament"
"1983-08-14","1985-05-05",417,"Friendly"
"1983-08-14","1985-05-05",158,"FIFA World Cup qualification"
"1983-08-14","1985-05-05",45,"AFC Asian Cup qualification"
"1983-08-14","1985-05-05",42,"African Cup of Nations qualification"
"1983-08-14","1985-05-05",42,"UEFA Euro qualification"
"1983-08-14","1985-05-05",36,"CECAFA Cup"
"1983-08-14","1985-05-05",32,"Amílcar Cabral Cup"
"1983-08-14","1985-05-05",24,"AFC Asian Cup"
"1983-08-14","1985-05-05",22,"Gulf Cup"
"1983-08-14","1985-05-05",22,"Copa América"
"1983-08-14","1985-05-05",21,"South Pacific Games"
"1983-08-14","1985-05-05",20,"West African Cup"
"1983-08-14","1985-05-05",16,"African Cup of Nations"
"1983-08-14","1985-05-05",15,"UEFA Euro"
"1983-08-14","1985-05-05",15,"Nehru Cup"
"1983-08-14","1985-05-05",12,"CONCACAF Championship"
"1983-08-14","1985-05-05",11,"UDEAC Cup"
"1983-08-14","1985-05-05",11,"CFU Caribbean Cup qualification"
"1983-08-14","1985-05-05",10,"CONCACAF Championship qualification"
"1983-08-14","1985-05-05",10,"Merdeka Tournament"
"1983-08-14","1985-05-05",6,"British Home Championship"
"1983-08-14","1985-05-05",4,"Merlion Cup"
"1983-08-14","1985-05-05",2,"Copa Artigas"
"1983-08-14","1985-05-05",2,"Windward Islands Tournament"
"1983-08-14","1985-05-05",2,"Kirin Cup"
"1983-08-14","1985-05-05",1,"Nordic Championship"
"1983-08-14","1985-05-05",1,"Korea Cup"
"1983-08-14","1985-05-05",1,"Great Wall Cup"
"1985-05-05","1987-12-10",437,"Friendly"
"1985-05-05","1987-12-10",116,"FIFA World Cup qualification"
"1985-05-05","1987-12-10",114,"UEFA Euro qualification"
"1985-05-05","1987-12-10",53,"African Cup of Nations qualification"
"1985-05-05","1987-12-10",52,"FIFA World Cup"
"1985-05-05","1987-12-10",25,"Amílcar Cabral Cup"
"1985-05-05","1987-12-10",22,"UDEAC Cup"
"1985-05-05","1987-12-10",21,"Gulf Cup"
"1985-05-05","1987-12-10",21,"West African Cup"
"1985-05-05","1987-12-10",16,"African Cup of Nations"
"1985-05-05","1987-12-10",15,"Korea Cup"
"1985-05-05","1987-12-10",14,"Merlion Cup"
"1985-05-05","1987-12-10",13,"Copa América"
"1985-05-05","1987-12-10",12,"CONCACAF Championship"
"1985-05-05","1987-12-10",10,"Arab Cup"
"1985-05-05","1987-12-10",10,"CECAFA Cup"
"1985-05-05","1987-12-10",6,"CFU Caribbean Cup"
"1985-05-05","1987-12-10",6,"Indonesia Tournament"
"1985-05-05","1987-12-10",5,"Nehru Cup"
"1985-05-05","1987-12-10",5,"CFU Caribbean Cup qualification"
"1985-05-05","1987-12-10",5,"Merdeka Tournament"
"1985-05-05","1987-12-10",5,"Rous Cup"
"1985-05-05","1987-12-10",4,"Windward Islands Tournament"
"1985-05-05","1987-12-10",4,"South Pacific Games"
"1985-05-05","1987-12-10",3,"Kirin Cup"
"1985-05-05","1987-12-10",3,"King's Cup"
"1985-05-05","1987-12-10",1,"CONMEBOL–UEFA Cup of Champions"
"1985-05-05","1987-12-10",1,"Lunar New Year Cup"
"1985-05-05","1987-12-10",1,"Great Wall Cup"
"1987-12-10","1989-08-13",11,"Tournament Burkina Faso"
"1987-12-10","1989-08-13",11,"CONCACAF Championship"
"1987-12-10","1989-08-13",10,"Island Games"
"1987-12-10","1989-08-13",9,"Malta International Tournament"
"1987-12-10","1989-08-13",9,"King's Cup"
"1987-12-10","1989-08-13",6,"Rous Cup"
"1987-12-10","1989-08-13",5,"Merdeka Tournament"
"1987-12-10","1989-08-13",4,"Tournoi de France"
"1987-12-10","1989-08-13",4,"Matthews Cup"
"1987-12-10","1989-08-13",3,"UEFA Euro qualification"
"1987-12-10","1989-08-13",3,"Arab Cup qualification"
"1987-12-10","1989-08-13",2,"Copa del Pacífico"
"1987-12-10","1989-08-13",2,"Korea Cup"
"1987-12-10","1989-08-13",2,"Copa Juan Pinto Durán"
"1987-12-10","1989-08-13",1,"Nehru Cup"
"1987-12-10","1989-08-13",1,"Lunar New Year Cup"
"1987-12-10","1989-08-13",1,"Kirin Cup"
"1987-12-10","1989-08-13",1,"Indonesia Tournament"
"1987-12-10","1989-08-13",385,"Friendly"
"1987-12-10","1989-08-13",189,"FIFA World Cup qualification"
"1987-12-10","1989-08-13",41,"AFC Asian Cup qualification"
"1987-12-10","1989-08-13",40,"African Cup of Nations qualification"
"1987-12-10","1989-08-13",30,"CECAFA Cup"
"1987-12-10","1989-08-13",28,"Amílcar Cabral Cup"
"1987-12-10","1989-08-13",28,"CFU Caribbean Cup qualification"
"1987-12-10","1989-08-13",26,"Copa América"
"1987-12-10","1989-08-13",24,"AFC Asian Cup"
"1987-12-10","1989-08-13",21,"Gulf Cup"
"1987-12-10","1989-08-13",18,"CONCACAF Championship qualification"
"1987-12-10","1989-08-13",16,"UDEAC Cup"
"1987-12-10","1989-08-13",16,"African Cup of Nations"
"1987-12-10","1989-08-13",15,"UEFA Euro"
"1987-12-10","1989-08-13",13,"Arab Cup"
"1987-12-10","1989-08-13",13,"CFU Caribbean Cup"
"1987-12-10","1989-08-13",12,"South Pacific Games"
"1989-08-13","1991-09-22",15,"CFU Caribbean Cup"
"1989-08-13","1991-09-22",10,"Gulf Cup"
"1989-08-13","1991-09-22",9,"UNCAF Cup"
"1989-08-13","1991-09-22",8,"Korea Cup"
"1989-08-13","1991-09-22",7,"Dynasty Cup"
"1989-08-13","1991-09-22",7,"CONCACAF Championship"
"1989-08-13","1991-09-22",6,"Nehru Cup"
"1989-08-13","1991-09-22",4,"Dakar Tournament"
"1989-08-13","1991-09-22",4,"NAFU Championship"
"1989-08-13","1991-09-22",3,"Malta International Tournament"
"1989-08-13","1991-09-22",3,"King's Cup"
"1989-08-13","1991-09-22",2,"Copa Paz del Chaco"
"1989-08-13","1991-09-22",1,"Merdeka Tournament"
"1989-08-13","1991-09-22",1,"Kirin Cup"
"1989-08-13","1991-09-22",432,"Friendly"
"1989-08-13","1991-09-22",89,"FIFA World Cup qualification"
"1989-08-13","1991-09-22",88,"African Cup of Nations qualification"
"1989-08-13","1991-09-22",87,"UEFA Euro qualification"
"1989-08-13","1991-09-22",52,"FIFA World Cup"
"1989-08-13","1991-09-22",39,"CFU Caribbean Cup qualification"
"1989-08-13","1991-09-22",26,"Copa América"
"1989-08-13","1991-09-22",25,"CECAFA Cup"
"1989-08-13","1991-09-22",18,"South Pacific Games"
"1989-08-13","1991-09-22",16,"UDEAC Cup"
"1989-08-13","1991-09-22",16,"Island Games"
"1989-08-13","1991-09-22",16,"Gold Cup"
"1989-08-13","1991-09-22",16,"African Cup of Nations"
"1991-09-22","1993-05-03",9,"Nehru Cup"
"1991-09-22","1993-05-03",8,"Dynasty Cup"
"1991-09-22","1993-05-03",8,"CFU Caribbean Cup"
"1991-09-22","1993-05-03",8,"UNCAF Cup"
"1991-09-22","1993-05-03",6,"Kirin Cup"
"1991-09-22","1993-05-03",6,"USA Cup"
"1991-09-22","1993-05-03",6,"Baltic Cup"
"1991-09-22","1993-05-03",4,"Confederations Cup"
"1991-09-22","1993-05-03",4,"Merdeka Tournament"
"1991-09-22","1993-05-03",2,"King's Cup"
"1991-09-22","1993-05-03",1,"CONMEBOL–UEFA Cup of Champions"
"1991-09-22","1993-05-03",1,"Malta International Tournament"
"1991-09-22","1993-05-03",1,"Merlion Cup"
"1991-09-22","1993-05-03",1,"Copa Lipton"
"1991-09-22","1993-05-03",1,"Copa Paz del Chaco"
"1991-09-22","1993-05-03",370,"Friendly"
"1991-09-22","1993-05-03",283,"FIFA World Cup qualification"
"1991-09-22","1993-05-03",62,"African Cup of Nations qualification"
"1991-09-22","1993-05-03",36,"CFU Caribbean Cup qualification"
"1991-09-22","1993-05-03",36,"UEFA Euro qualification"
"1991-09-22","1993-05-03",27,"CECAFA Cup"
"1991-09-22","1993-05-03",20,"African Cup of Nations"
"1991-09-22","1993-05-03",19,"AFC Asian Cup qualification"
"1991-09-22","1993-05-03",16,"AFC Asian Cup"
"1991-09-22","1993-05-03",15,"Gulf Cup"
"1991-09-22","1993-05-03",15,"UEFA Euro"
"1991-09-22","1993-05-03",13,"Jordan International Tournament"
"1991-09-22","1993-05-03",12,"Amílcar Cabral Cup"
"1991-09-22","1993-05-03",10,"Arab Cup"
"1993-05-03","1994-12-14",15,"Gulf Cup"
"1993-05-03","1994-12-14",13,"Amílcar Cabral Cup"
"1993-05-03","1994-12-14",11,"CECAFA Cup"
"1993-05-03","1994-12-14",6,"United Arab Emirates Friendship Tournament"
"1993-05-03","1994-12-14",6,"Malta International Tournament"
"1993-05-03","1994-12-14",6,"Korea Cup"
"1993-05-03","1994-12-14",6,"USA Cup"
"1993-05-03","1994-12-14",6,"Baltic Cup"
"1993-05-03","1994-12-14",5,"Simba Tournament"
"1993-05-03","1994-12-14",3,"Kirin Cup"
"1993-05-03","1994-12-14",1,"Lunar New Year Cup"
"1993-05-03","1994-12-14",1,"Copa Paz del Chaco"
"1993-05-03","1994-12-14",388,"Friendly"
"1993-05-03","1994-12-14",212,"FIFA World Cup qualification"
"1993-05-03","1994-12-14",68,"UEFA Euro qualification"
"1993-05-03","1994-12-14",64,"African Cup of Nations qualification"
"1993-05-03","1994-12-14",52,"FIFA World Cup"
"1993-05-03","1994-12-14",26,"Copa América"
"1993-05-03","1994-12-14",24,"CFU Caribbean Cup"
"1993-05-03","1994-12-14",20,"African Cup of Nations"
"1993-05-03","1994-12-14",19,"CFU Caribbean Cup qualification"
"1993-05-03","1994-12-14",16,"Island Games"
"1993-05-03","1994-12-14",16,"Gold Cup"
"1993-05-03","1994-12-14",16,"Oceania Nations Cup qualification"
"1872-11-30","1926-09-19",14,"Copa Newton"
"1872-11-30","1926-09-19",12,"Copa Premio Honor Argentino"
"1872-11-30","1926-09-19",8,"Nordic Championship"
"1872-11-30","1926-09-19",8,"Copa Chevallier Boutell"
"1872-11-30","1926-09-19",3,"Copa Roca"
"1872-11-30","1926-09-19",1,"Évence Coppée Trophy"
"1872-11-30","1926-09-19",637,"Friendly"
"1872-11-30","1926-09-19",226,"British Home Championship"
"1872-11-30","1926-09-19",60,"Copa América"
"1872-11-30","1926-09-19",16,"Copa Lipton"
"1872-11-30","1926-09-19",15,"Copa Premio Honor Uruguayo"
"1994-12-14","1996-06-10",372,"Friendly"
"1994-12-14","1996-06-10",163,"UEFA Euro qualification"
"1994-12-14","1996-06-10",79,"African Cup of Nations qualification"
"1994-12-14","1996-06-10",56,"FIFA World Cup qualification"
"1994-12-14","1996-06-10",43,"CFU Caribbean Cup qualification"
"1994-12-14","1996-06-10",29,"African Cup of Nations"
"1994-12-14","1996-06-10",27,"CFU Caribbean Cup"
"1994-12-14","1996-06-10",26,"Copa América"
"1994-12-14","1996-06-10",22,"AFC Asian Cup qualification"
"1994-12-14","1996-06-10",20,"South Pacific Games"
"1994-12-14","1996-06-10",18,"Island Games"
"1994-12-14","1996-06-10",14,"Amílcar Cabral Cup"
"1994-12-14","1996-06-10",13,"Gold Cup"
"1994-12-14","1996-06-10",12,"UNCAF Cup"
"1994-12-14","1996-06-10",11,"CECAFA Cup"
"1994-12-14","1996-06-10",8,"Confederations Cup"
"1994-12-14","1996-06-10",8,"Dynasty Cup"
"1994-12-14","1996-06-10",8,"USA Cup"
"1994-12-14","1996-06-10",7,"SAFF Cup"
"1994-12-14","1996-06-10",6,"UEFA Euro"
